ATC_code,Libellé français
A,voies digestives et métabolisme
A01,préparations stomatologiques
A01A,préparations stomatologiques
A01AA,médicaments prophylactiques anticaries
A01AA01,fluorure de sodium
A01AA02,monofluorophosphate de sodium
A01AA03,olaflur
A01AA04,fluorure d'étain
A01AA30,associations (médicaments prophylactiques anticaries)
A01AA51,fluorure de sodium en association
A01AB,anti-infectieux et antiseptiques pour traitement oral local
A01AB02,peroxyde d'hydrogène
A01AB03,chlorhexidine
A01AB04,amphotéricine B
A01AB05,polynoxyline
A01AB06,domiphène
A01AB07,oxyquinoline
A01AB08,néomycine
A01AB09,miconazole
A01AB10,natamycine
A01AB11,divers (anti-infectieux et antiseptiques pour traitement oral local)
A01AB12,hexétidine
A01AB13,tétracycline
A01AB14,chlorure de benzoxonium
A01AB15,iodure de tibézonium
A01AB16,mépartricine
A01AB17,métronidazole
A01AB18,clotrimazole
A01AB19,perborate de sodium
A01AB21,chlortétracycline
A01AB22,doxycycline
A01AB23,minocycline
A01AB24,octénidine
A01AB25,oxytétracycline
A01AB53,chlorhexidine et cétylpyridinium
A01AC,corticoïdes pour traitement oral local
A01AC01,triamcinolone
A01AC02,dexaméthasone
A01AC03,hydrocortisone
A01AC04,prednisolone
A01AC54,prednisolone en association
A01AD,autres médicaments pour traitement oral local
A01AD01,épinéphrine
A01AD02,benzydamine
A01AD05,acide acétylsalicylique
A01AD06,adrénalone
A01AD07,amlexanox
A01AD08,bécaplermine
A01AD11,divers (autres médicaments pour traitement oral local)
A02,médicaments pour les troubles de l'acidité
A02A,anti-acides
A02AA,composés à base de magnésium
A02AA01,carbonate de magnésium
A02AA02,oxyde de magnésium
A02AA03,peroxyde de magnésium
A02AA04,hydroxyde de magnésium
A02AA05,silicate de magnésium
A02AA10,associations (composés à base de magnésium)
A02AB,composés à base d'aluminium
A02AB01,hydroxyde d'aluminium
A02AB02,algeldrate
A02AB03,phosphate d'aluminium
A02AB04,carbonate de dihydroxyaluminium et de sodium
A02AB05,acétoacétate d'aluminium
A02AB06,aloglutamol
A02AB07,glycinate d'aluminium
A02AB10,associations (composés à base d'aluminium)
A02AC,composés à base de calcium
A02AC01,carbonate de calcium
A02AC02,silicate de calcium
A02AC10,associations (composés à base de calcium)
A02AD,"associations et complexes de composés à base d'aluminium, de calcium et de magnésium"
A02AD01,associations de sels
A02AD02,magaldrate
A02AD03,almagate
A02AD04,hydrotalcite
A02AD05,almasilate
A02AF,anti-acides avec antiflatulents
A02AF01,magaldrate et antiflatulents
A02AF02,associations de sels et antiflatulents
A02AG,anti-acides avec antispasmodiques
A02AH,anti-acides avec bicarbonate de sodium
A02AX,"anti-acides, autres associations"
A02B,médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)
A02BA,antagonistes des récepteurs H2
A02BA01,cimétidine
A02BA02,ranitidine
A02BA03,famotidine
A02BA04,nizatidine
A02BA05,nipérotidine
A02BA06,roxatidine
A02BA07,ranitidine bismuth citrate
A02BA08,lafutidine
A02BA51,cimétidine en association
A02BA53,famotidine en association
A02BB,prostaglandines
A02BB01,misoprostol
A02BB02,enprostil
A02BC,inhibiteurs de la pompe à protons
A02BC01,oméprazole
A02BC02,pantoprazole
A02BC03,lansoprazole
A02BC04,rabéprazole
A02BC05,ésoméprazole
A02BC06,dexlansoprazole
A02BC07,dexrabéprazole
A02BC08,vonoprazan
A02BC09,tégoprazan
A02BC51,oméprazole en association
A02BC53,lansoprazole en association
A02BC54,rabéprazole en association
A02BD,associations pour l'éradication d'Hélicobacter pylori
A02BD01,"oméprazole, amoxicilline et métronidazole"
A02BD02,"lansoprazole, tétracycline et métronidazole"
A02BD03,"lansoprazole, amoxicilline et métronidazole"
A02BD04,"pantoprazole, amoxicilline et clarithromycine"
A02BD05,"oméprazole, amoxicilline et clarithromycine"
A02BD06,"ésoméprazole, amoxicilline et clarithromycine"
A02BD07,"lansoprazole, amoxicilline et clarithromycine"
A02BD08,"sous-citrate de bismuth, tétracycline et métronidazole"
A02BD09,"lansoprazole, clarithromycine et tinidazole"
A02BD10,"lansoprazole, amoxicilline et lévofloxacine"
A02BD11,"pantoprazole, amoxicilline, clarithromycine et métronidazole"
A02BD12,"rabéprazole, amoxicilline et clarithromycine"
A02BD13,"rabéprazole, amoxicilline et métronidazole"
A02BD14,"vonoprazan, amoxicilline et clarithromycine"
A02BD15,"vonoprazan, amoxicilline et métronidazole"
A02BD16,"oméprazole, amoxicilline et rifabutine"
A02BD17,vonoprazan et amoxicilline
A02BX,autres médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)
A02BX01,carbénoxolone
A02BX02,sucralfate
A02BX03,pirenzépine
A02BX04,chlorure de méthiosulfonium
A02BX05,sous-citrate de bismuth
A02BX06,proglumide
A02BX07,géfarnate
A02BX08,sulglicotide
A02BX09,acétoxolone
A02BX10,zolimidine
A02BX11,troxipide
A02BX12,sous nitrate de bismuth
A02BX13,acide alginique
A02BX14,rébamipide
A02BX15,téprénone
A02BX16,irsogladine
A02BX51,carbénoxolone en association sauf aux psycholeptiques
A02BX71,carbénoxolone en association avec des psycholeptiques
A02BX77,géfarnate en association avec des psycholeptiques
A02X,autres médicaments pour les troubles de l'acidité
A03,médicaments pour les troubles fonctionnels gastro-intestinaux
A03A,médicaments pour les troubles fonctionnels gastro-intestinaux
A03AA,"anticholinergiques de synthèse, esters avec groupement amine tertiaire"
A03AA01,oxyphencyclimine
A03AA03,camylofine
A03AA04,mébévérine
A03AA05,trimébutine
A03AA06,rocivérine
A03AA07,dicyclovérine
A03AA08,dihexyvérine
A03AA09,difémérine
A03AA30,pipéridolate
A03AB,"anticholinergiques de synthèse, ammoniums quaternaires"
A03AB01,benzilone
A03AB02,glycopyrronium
A03AB03,oxyphénonium
A03AB04,penthiénate
A03AB05,propanthéline
A03AB06,bromure d'otilonium
A03AB07,méthanthéline
A03AB08,tridihexéthyl
A03AB09,isopropamide
A03AB10,hexocyclium
A03AB11,poldine
A03AB12,mépenzolate
A03AB13,bévonium
A03AB14,pipenzolate
A03AB15,diphémanil
A03AB16,iodure de (2-benzhydryloxyéthyl) diéthylméthylammonium
A03AB17,iodure de tiémonium
A03AB18,bromure de prifinium
A03AB19,bromure de timépidium
A03AB21,fenpivérinium
A03AB53,oxyphénonium en association
A03AC,"antispasmodiques de synthèse, amides avec groupement amine tertiaire"
A03AC02,diméthylaminopropionylphénothiazine
A03AC04,nicofétamide
A03AC05,tiropramide
A03AD,papavérine et dérivés
A03AD01,papavérine
A03AD02,drotavérine
A03AD30,moxavérine
A03AE,antagonistes des récepteurs sérotoninergiques
A03AE01,alosétron
A03AE03,cilansétron
A03AX,autres médicaments pour les troubles fonctionnels gastro-intestinaux
A03AX01,fenpiprane
A03AX02,diisopromine
A03AX03,chlorbenzoxamine
A03AX04,pinavérium
A03AX05,fénovérine
A03AX06,idanpramine
A03AX07,proxazole
A03AX08,alvérine
A03AX09,trépibutone
A03AX10,isométheptène
A03AX11,carovérine
A03AX12,phloroglucinol
A03AX13,silicones
A03AX14,valéthamate
A03AX15,huile essentielle de menthe poivrée
A03AX30,triméthyldiphénylpropylamine
A03AX58,alvérine en association
A03B,belladone et dérivés non associés
A03BA,alcaloïdes de la belladone : amines tertiaires
A03BA01,atropine
A03BA03,hyoscyamine
A03BA04,alcaloïdes totaux de la belladone
A03BB,alcaloïdes hémisynthétiques de la belladone : ammoniums quaternaires
A03BB01,butylscopolamine
A03BB02,méthylatropine
A03BB03,méthylscopolamine
A03BB04,fentonium
A03BB05,bromure de cimétropium
A03BB06,méthylbromure d'homatropine
A03C,antispasmodiques en association avec des psycholeptiques
A03CA,anticholinergiques de synthèse en association avec des psycholeptiques
A03CA01,Isopropamide et psycholeptiques
A03CA02,clidinium et psycholeptiques
A03CA03,oxyphencyclimine et psycholeptiques
A03CA04,bromure d'otilonium et psycholeptiques
A03CA05,glycopyrronium et psycholeptiques
A03CA06,bévonium et psycholeptiques
A03CA07,ambutonium et psycholeptiques
A03CA08,diphémanil et psycholeptiques
A03CA09,pipenzolate et psycholeptiques
A03CA30,émépronium et psycholeptiques
A03CA34,propanthéline et psycholeptiques
A03CB,belladone et dérivés en association avec des psycholeptiques
A03CB01,méthylscopolamine et psycholeptiques
A03CB02,alcaloïdes totaux de la belladone et psycholeptiques
A03CB03,atropine et psycholeptiques
A03CB04,méthylbromure d'homatropine et psycholeptiques
A03CB31,hyoscyamine et psycholeptiques
A03CC,autres antispasmodiques en association avec des psycholeptiques
A03D,antispasmodiques en association avec des analgésiques
A03DA,anticholinergiques de synthèse en association avec des analgésiques
A03DA01,tropenzilone et analgésiques
A03DA02,pitofénone et analgésiques
A03DA03,bévonium et analgésiques
A03DA04,ciclonium et analgésiques
A03DA05,camylofine et analgésiques
A03DA06,trospium et analgésiques
A03DA07,iodure de tiémonium et analgésiques
A03DB,belladone et dérivés en association avec des analgésiques
A03DB04,butylscopolamine et analgésiques
A03DC,autres antispasmodiques en association avec des analgésiques
A03E,antispasmodiques et anticholinergiques en association avec d'autres médicaments
A03EA,"antispasmodiques, psycholeptiques et analgésiques en association"
A03ED,antispasmodiques en association avec d'autres médicaments
A03F,stimulants de la motricité intestinale
A03FA,stimulants de la motricité intestinale
A03FA01,métoclopramide
A03FA02,cisapride
A03FA03,dompéridone
A03FA04,bromopride
A03FA05,alizapride
A03FA06,clébopride
A03FA07,itopride
A03FA08,cinitapride
A03FA09,mosapride
A03FA10,acotiamide
A04,anti-émétiques et antinauséeux
A04A,anti-émétiques et antinauséeux
A04AA,antagonistes de la sérotonine (5HT3)
A04AA01,ondansétron
A04AA02,granisétron
A04AA03,tropisétron
A04AA04,dolasétron
A04AA05,palonosétron
A04AA55,palonosétron en association
A04AD,autres anti-émétiques
A04AD01,scopolamine
A04AD02,oxalate de cérium
A04AD04,chlorobutanol
A04AD05,métopimazine
A04AD10,dronabinol
A04AD11,nabilone
A04AD12,aprépitant
A04AD13,casopitant
A04AD14,rolapitant
A04AD51,scopolamine en association
A04AD54,chlorobutanol en association
A05,thérapie hépathique et biliare
A05A,thérapie biliaire
A05AA,acides biliaires et dérivés
A05AA01,acide chénodésoxycholique
A05AA02,acide ursodésoxycholique
A05AA03,acide cholique
A05AA04,acide obéticholique
A05AA05,ursodoxicoltaurine
A05AB,préparations thérapeutiques du tractus biliaire
A05AB01,nicotinyl méthylamide
A05AX,autres médicaments pour la thérapie biliaire
A05AX01,piprozoline
A05AX02,hymécromone
A05AX03,cyclobutyrol
A05AX04,chlorure de maralixibat
A05AX05,odévixibat
A05AX06,élafibranor
A05B,"thérapie hépatique, lipotropiques"
A05BA,thérapeutique hépatique
A05BA01,glutamate d'arginine
A05BA03,silymarine
A05BA04,citiolone
A05BA05,épomédiol
A05BA06,oxoglurate d'ornithine
A05BA07,tidiacic arginine
A05BA08,acide glycyrrhizique
A05BA09,métadoxine
A05BA10,phospholipides
A05C,médicaments pour la thérapie biliaire et lipotropes en association
A06,médicaments pour la constipation
A06A,médicaments pour la constipation
A06AA,laxatifs lubrifiants
A06AA01,huile de paraffine
A06AA02,docusate de sodium
A06AA51,huile de paraffine en association
A06AB,laxatifs stimulants
A06AB01,oxyphénisatine
A06AB02,bisacodyl
A06AB03,dantrone
A06AB04,phénolphtaléïne
A06AB05,huile de ricin
A06AB06,glycosides de séné
A06AB07,cascara
A06AB08,picosulfate de sodium
A06AB09,bisoxatine
A06AB20,laxatifs stimulants en association
A06AB30,laxatifs stimulants en association avec des alcaloïdes de la belladone
A06AB52,bisacodyl en association
A06AB53,dantrone en association
A06AB56,glycosides de séné en association
